week;indicator;inc;inc_low;inc_up;inc100;inc100_low;inc100_up;geo_insee;geo_name
202426;3;5324;0;10702;273;0;549;42;ALSACE
202426;3;2717;1021;4413;76;29;123;72;AQUITAINE
202426;3;351;0;771;25;0;55;83;AUVERGNE
202426;3;432;0;914;29;0;61;25;BASSE-NORMANDIE
202426;3;581;0;1202;35;0;72;26;BOURGOGNE
202426;3;3733;1913;5553;107;55;159;53;BRETAGNE
202426;3;1065;0;2282;40;0;86;24;CENTRE
202426;3;283;0;774;21;0;58;21;CHAMPAGNE-ARDENNE
202426;3;141;0;365;40;0;104;94;CORSE
202426;3;29;0;117;2;0;9;43;FRANCHE-COMTE
202426;3;0;0;0;0;0;0;23;HAUTE-NORMANDIE
202426;3;3564;1533;5595;121;52;190;91;LANGUEDOC-ROUSSILLON
202426;3;215;0;835;29;0;112;74;LIMOUSIN
202426;3;1663;0;3506;70;0;148;41;LORRAINE
202426;3;1053;0;2164;33;0;68;73;MIDI-PYRENEES
202426;3;3684;1279;6089;89;31;147;31;NORD-PAS-DE-CALAIS
202426;3;1249;0;2535;32;0;65;52;PAYS-DE-LA-LOIRE
202426;3;217;0;774;11;0;39;22;PICARDIE
202426;3;2490;688;4292;133;37;229;54;POITOU-CHARENTES
202426;3;3128;0;7286;60;0;140;93;PROVENCE-ALPES-COTE-D-AZUR
202426;3;6856;4299;9413;55;34;76;11;ILE-DE-FRANCE
202426;3;5045;2066;8024;73;30;116;82;RHONE-ALPES
202425;3;4207;0;8615;216;0;442;42;ALSACE
202425;3;3047;1321;4773;85;37;133;72;AQUITAINE
202425;3;288;0;714;21;0;51;83;AUVERGNE
202425;3;512;91;933;34;6;62;25;BASSE-NORMANDIE
202425;3;933;164;1702;56;10;102;26;BOURGOGNE
202425;3;4348;2654;6042;125;76;174;53;BRETAGNE
202425;3;2274;615;3933;86;23;149;24;CENTRE
202425;3;385;0;826;29;0;62;21;CHAMPAGNE-ARDENNE
202425;3;169;0;373;48;0;106;94;CORSE
202425;3;671;0;1783;55;0;147;43;FRANCHE-COMTE
202425;3;140;0;658;7;0;34;23;HAUTE-NORMANDIE
202425;3;2696;1172;4220;91;39;143;91;LANGUEDOC-ROUSSILLON
202425;3;207;0;874;28;0;118;74;LIMOUSIN
202425;3;5052;2549;7555;213;107;319;41;LORRAINE
202425;3;1403;250;2556;44;8;80;73;MIDI-PYRENEES
202425;3;2662;1076;4248;65;27;103;31;NORD-PAS-DE-CALAIS
202425;3;790;115;1465;20;3;37;52;PAYS-DE-LA-LOIRE
202425;3;420;0;1096;21;0;55;22;PICARDIE
202425;3;1233;240;2226;66;13;119;54;POITOU-CHARENTES
202425;3;2024;275;3773;39;5;73;93;PROVENCE-ALPES-COTE-D-AZUR
202425;3;8782;6388;11176;71;52;90;11;ILE-DE-FRANCE
202425;3;4750;2554;6946;69;37;101;82;RHONE-ALPES
202424;3;1501;0;3493;77;0;179;42;ALSACE
202424;3;2964;1215;4713;83;34;132;72;AQUITAINE
202424;3;116;0;341;8;0;24;83;AUVERGNE
202424;3;465;4;926;31;0;62;25;BASSE-NORMANDIE
202424;3;738;0;1499;44;0;90;26;BOURGOGNE
202424;3;4603;2672;6534;132;77;187;53;BRETAGNE
202424;3;1310;227;2393;50;9;91;24;CENTRE
202424;3;321;0;731;24;0;54;21;CHAMPAGNE-ARDENNE
202424;3;59;0;147;17;0;42;94;CORSE
202424;3;387;0;1208;32;0;100;43;FRANCHE-COMTE
202424;3;105;0;814;6;0;44;23;HAUTE-NORMANDIE
202424;3;2475;975;3975;84;33;135;91;LANGUEDOC-ROUSSILLON
202424;3;0;0;0;0;0;0;74;LIMOUSIN
202424;3;2756;976;4536;116;41;191;41;LORRAINE
202424;3;804;14;1594;25;0;50;73;MIDI-PYRENEES
202424;3;4154;2151;6157;101;52;150;31;NORD-PAS-DE-CALAIS
202424;3;1558;618;2498;40;16;64;52;PAYS-DE-LA-LOIRE
202424;3;611;0;1261;31;0;64;22;PICARDIE
202424;3;444;0;1178;24;0;63;54;POITOU-CHARENTES
202424;3;1531;246;2816;29;4;54;93;PROVENCE-ALPES-COTE-D-AZUR
202424;3;9174;6721;11627;74;54;94;11;ILE-DE-FRANCE
202424;3;3748;1874;5622;54;27;81;82;RHONE-ALPES
202423;3;897;0;2199;46;0;113;42;ALSACE
202423;3;2306;886;3726;64;24;104;72;AQUITAINE
202423;3;76;0;251;5;0;17;83;AUVERGNE
202423;3;538;55;1021;36;4;68;25;BASSE-NORMANDIE
202423;3;615;5;1225;37;0;74;26;BOURGOGNE
202423;3;2680;1362;3998;77;39;115;53;BRETAGNE
202423;3;1598;315;2881;61;12;110;24;CENTRE
202423;3;159;0;492;12;0;37;21;CHAMPAGNE-ARDENNE
202423;3;213;0;606;60;0;172;94;CORSE
202423;3;71;0;372;6;0;31;43;FRANCHE-COMTE
202423;3;0;0;0;0;0;0;23;HAUTE-NORMANDIE
202423;3;1703;583;2823;58;20;96;91;LANGUEDOC-ROUSSILLON
202423;3;0;0;0;0;0;0;74;LIMOUSIN
202423;3;3112;1014;5210;131;43;219;41;LORRAINE
202423;3;1047;191;1903;33;6;60;73;MIDI-PYRENEES
202423;3;2755;901;4609;67;22;112;31;NORD-PAS-DE-CALAIS
202423;3;1838;759;2917;47;20;74;52;PAYS-DE-LA-LOIRE
202423;3;683;7;1359;35;1;69;22;PICARDIE
202423;3;1111;0;2332;59;0;124;54;POITOU-CHARENTES
202423;3;1506;274;2738;29;5;53;93;PROVENCE-ALPES-COTE-D-AZUR
202423;3;10295;7768;12822;83;63;103;11;ILE-DE-FRANCE
202423;3;2814;1258;4370;41;18;64;82;RHONE-ALPES
202422;3;1051;0;2467;54;0;127;42;ALSACE
202422;3;1840;598;3082;51;16;86;72;AQUITAINE
202422;3;145;0;412;10;0;29;83;AUVERGNE
